"days","Cat_1","Cat_2","StartTime","total_StartTime","average_duration","std_duration","proportion_StartTime","Activity","Var_1","Var_2"
"Sunday","(14,25]","Male",0,26204.8383510769,226,0.0000000000000284217109202362,0.0596997389395938,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Male",4,173092.399891206,356.327112658392,54.1322137886612,0.394338287742504,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Male",11,31629.1487949698,405,0.0000000000000568434213294683,0.0720573773683921,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Male",12,61129.9867988159,30,3.55271375863205e-15,0.139266047146601,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Male",22,61129.9867988159,390,0,0.139266047146601,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Male",23,85757.5747413132,532.867244379753,64.389007886217,0.195372501656309,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",0,52837.2187657418,417.99940683106,16.6134445211508,0.10137838824896,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",1,41387.256624544,360,0,0.0794094289717383,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",4,251623.589814431,356.181146588774,72.4862315798132,0.482788355948516,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",13,17941.0112505055,180,0,0.0344232881029686,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",21,43707.0617347747,740,0,0.0838604222037927,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",22,44495.9122913846,573.625136865122,95.6555806347724,0.0853739840427111,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",23,69196.1403979863,379.923018786849,10.0572757795508,0.132766132481313,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",1,13187.0779749918,390,0,0.0125224650343867,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",2,10275.302680989,180,0.000000000000028421713229885,0.00975743972883464,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",4,458869.85832717,265.647680479665,88.878011334475,0.435743366887884,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",5,10380.6151690934,130,0,0.00985744459363278,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",6,12149.4199817335,180,0,0.0115371037615657,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",7,18095.5682704011,470,0,0.0171835732960089,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",13,13608.5049293874,965,0.000000000000113686849197033,0.0129226525748695,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",14,18894.6861986923,240,0,0.0179424166375251,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",16,5069.64909358242,60,0,0.00481414484932821,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",18,49133.3320102445,482.062573117703,457.961196524409,0.0466570709059286,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",20,40343.2668737582,565.68826336806,26.643015827712,0.0383100145276789,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",21,103930.175596904,683.442698026526,202.637124349996,0.0986922191859347,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",22,163600.276032723,486.632810700962,81.8209347824568,0.155355018004818,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",23,135535.917996909,412.85165345678,152.576871561901,0.128705070011604,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",0,106506.818312824,491.984385849768,83.8176677657634,0.0811886566884178,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",1,22570.6219463846,420,0,0.0172052691600163,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",3,14170.9420521841,300,0,0.0108023107576739,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",4,606715.170462253,262.760747242299,86.6657532172193,0.462490481479191,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",9,14301.1577043709,45,0,0.0109015723265417,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",12,10901.5202009533,60,0,0.00831007624673809,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",13,22570.6219463846,225,0,0.0172052691600163,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",14,39499.0824676456,155.577427866481,77.5751794259094,0.030109597646173,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",17,10639.2481713654,30,0,0.00811014994993852,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",19,6737.7081090522,680,0,0.00513606057525748,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",20,58464.4761364121,533.887942685132,64.3197977675872,0.0445666517571282,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",21,180368.398207099,546.10609322326,82.7673420211518,0.137492305107313,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",22,155241.27329081,475.163793737364,111.759178756851,0.118338249519964,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",23,63156.5442845824,531.101604409822,57.8825352228143,0.0481433496256307,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",0,46581.6258548297,415.416918339883,50.7049254404741,0.0433645150685705,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",1,12441.5692062775,525,0,0.0115823053708707,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",4,504850.25172933,223.202340430864,94.055972251692,0.469983302358655,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",11,29894.3054909286,360,0,0.0278296868590604,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",12,11910.8055708901,180,0,0.0110881983653245,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",13,16165.3190758681,75,0,0.0150488783890538,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",17,17580.9215733352,20,0,0.0163667137953109,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",19,13996.9380628132,555,0,0.0130302543202403,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",20,62506.3835416841,652.501281407984,35.9693606351535,0.0581894461868418,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",21,78494.6106370769,511.990641903,97.1871020783085,0.0730734632659924,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",22,195854.440692448,449.988789501557,51.4640860687368,0.182327960623846,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",23,83910.4628819341,482.545921692657,67.1589859534601,0.0781152753962341,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",0,50183.2788956978,366.762014505137,70.530325667575,0.0431855220504387,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",1,28428.4656705577,459.535491321851,56.4021647810191,0.0244642868718819,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",3,36388.7481559588,315,0,0.0313145557735117,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",4,526175.618448374,217.073673241772,83.9409082033228,0.452803588624288,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",11,25964.558313239,46.3585119462695,18.9623143069192,0.0223439565975115,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",13,19594.0517092637,30,0,0.0168617788787091,"Sleeping","CohAge","SEX2"
