"days","Cat_1","Cat_2","L_Start","M_Start","H_Start","average_duration","std_duration","Activity","Var_1","Var_2"
"Sunday","(14,25]","Male",0,4,23,345.788148703236,155.294894613767,"Sleeping","CohAge","SEX2"
"Sunday","(14,25]","Female",0,4,23,410.590088180349,135.357109082976,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Male",1,4,23,391.24470938308,215.846980406972,"Sleeping","CohAge","SEX2"
"Sunday","(25,44]","Female",0,4,23,365.893407938686,163.534501010491,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Male",0,4,23,344.820154285242,167.834243427267,"Sleeping","CohAge","SEX2"
"Sunday","(44,64]","Female",0,4,23,322.315274199409,168.013959885568,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Male",0,4,23,320.51087599589,163.917929896426,"Sleeping","CohAge","SEX2"
"Sunday","(64,85]","Female",0,4,23,306.768263527942,200.326631149215,"Sleeping","CohAge","SEX2"
"Tuesday","(14,25]","Male",4,13.5,23,466.182431597447,146.126197563489,"Sleeping","CohAge","SEX2"
"Tuesday","(14,25]","Female",4,13,22,333.841835269976,155.26380069589,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Male",1,4,23,274.97217717141,148.445100350241,"Sleeping","CohAge","SEX2"
"Tuesday","(25,44]","Female",4,4,23,397.688675296968,224.467622196633,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Male",0,4,23,287.831187691206,133.14733116736,"Sleeping","CohAge","SEX2"
"Tuesday","(44,64]","Female",1,4,23,320.150588672999,184.413921280283,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Male",0,4,23,257.968192109431,168.895257331119,"Sleeping","CohAge","SEX2"
"Tuesday","(64,85]","Female",3,4,23,255.5095494817,164.214434626539,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Male",4,4,23,463.316262035307,183.556493225479,"Sleeping","CohAge","SEX2"
"Wednesday","(14,25]","Female",1,4,21,332.6359528841,106.841646020623,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Male",1,4,23,298.387682349432,192.560061773221,"Sleeping","CohAge","SEX2"
"Wednesday","(25,44]","Female",4,4,23,349.609190263365,203.542008070935,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Male",4,4,23,284.911905066861,178.718945077339,"Sleeping","CohAge","SEX2"
"Wednesday","(44,64]","Female",0,4,23,301.345175445673,172.992230833801,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Male",4,4,23,416.849687677483,173.35088701065,"Sleeping","CohAge","SEX2"
"Wednesday","(64,85]","Female",0,4,22,319.104899472749,165.430823109111,"Sleeping","CohAge","SEX2"
"Monday","(14,25]","Male",1,4,22,396.099149881627,154.855948347314,"Sleeping","CohAge","SEX2"
